genes,class,ppi_score,kfe_score,fit_score,exp_score,bla_score
b3836	b4237,1.0,0.7592309713363647,0.8599588572978973,1.0738430142402648,0.881888484954834,0.866608452796936
b2425	b3167,1.0,0.5772485494613647,0.7895609065890312,0.7401515960693359,0.707376766204834,0.783307671546936
b1214	b2296,1.0,1.4888696432113648,1.181968140602112,1.149270248413086,1.002200984954834,1.087506890296936
b0114	b3774,1.0,0.8519555807113648,0.7974466606974602,0.6744289517402648,0.776712703704834,0.700299859046936
b3368	b3580,1.0,0.7708032369613648,0.5561502575874329,0.4026516079902649,0.578177547454834,0.743756890296936
b0594	b3612,1.0,0.9391626119613647,1.0669046640396118,0.9187160730361938,0.912454891204834,1.088385796546936
b0004	b0953,1.0,0.4751001119613647,0.8926370799541473,0.9266262173652648,0.6732947349548339,0.816803765296936
b2134	b3842,1.0,1.1940454244613647,1.236228394508362,2.351870346069336,1.647513484954834,1.348835015296936
b0026	b3772,1.0,0.5430688619613647,0.7853861019015312,0.6986721158027649,0.594290828704834,0.645417046546936
b0243	b1924,1.0,0.8082055807113647,0.9153177380561828,1.798745322227478,0.902493953704834,0.928424859046936
b1308	b4544,1.0,0.7895532369613647,0.8175150081515312,0.9133571743965148,0.906693172454834,0.697760796546936
b1868	b4028,1.0,1.1201196432113647,0.9697122812271118,1.0329494595527648,0.985208797454834,1.115143609046936
b1492	b3008,1.0,0.7922876119613648,0.7374613106250762,0.8956447839736938,0.486673641204834,0.7272529840469361
b1832	b3227,1.0,1.9951196432113647,0.9519144296646118,0.8444118499755859,0.903372859954834,0.8561592340469361
b2464	b2516,1.0,0.9467797994613648,1.0778909921646118,1.343569564819336,1.522513484954834,1.792389702796936
b2675	b3612,1.0,0.9183130025863648,0.8886820137500763,0.9506984829902648,0.942728328704834,0.861725640296936
b0072	b3172,1.0,0.5396020650863648,0.7216898143291474,0.916909408569336,0.491068172454834,0.5999092340469361
b0734	b2425,1.0,0.6280297994613647,0.7758279964327812,0.7273830652236939,0.8891150474548339,0.7043037652969361
b1924	b2833,1.0,0.9077172994613648,0.9587320446968078,0.7888820767402649,0.956204891204834,1.142585015296936
b2147	b2752,1.0,0.6542993307113647,0.8946756660938263,0.7414089322090149,0.839993953704834,0.828229546546936
b2764	b3437,1.0,0.4540063619613647,0.6607523083686828,0.7322170376777649,0.522708797454834,0.600006890296936
b1855	b2516,1.0,0.9703149557113648,1.7355203866958615,1.538271713256836,1.565579891204834,1.805866265296936
b1407	b2258,1.0,1.0017602682113649,1.0781107187271115,0.7228786468505859,1.940579891204834,0.910260796546936
b2557	b4106,1.0,0.7706079244613647,0.8813944041728974,0.9686916589736938,0.741458797454834,0.745221734046936
b1623	b1693,1.0,0.7117212057113648,0.9610452771186828,0.8064723968505859,0.7685095787048339,0.8704170465469361
b1749	b2752,1.0,0.8761255025863648,0.8947611033916474,0.7923244714736939,0.8397986412048339,0.622956109046936
b2258	b3094,1.0,1.1607446432113648,1.017722523212433,0.8915432095527649,0.8915564537048339,1.021979546546936
