genes,class,ppi_score,kfe_score,fit_score,exp_score,bla_score
b3836	b4237,1.0,0.7662682294845581,0.8242196187376976,0.8675753235816955,0.8419498205184937,0.8833471059799194
b2425	b3167,1.0,0.5942955732345581,0.9292733192443848,0.7386202335357666,0.7185123205184937,0.7826635122299195
b3652	b3842,1.0,1.2809166669845582,1.6474862098693848,1.0930269837379456,0.8534732580184936,0.9928197622299194
b1214	b2296,1.0,1.398397135734558,0.9700692176818848,1.2635591983795167,0.9786685705184937,1.1210424184799197
b1623	b2022,1.0,0.5670006513595581,0.7915657982230186,0.8378267526626587,0.5809146642684937,0.5727025747299195
b0114	b3774,1.0,0.8871666669845581,0.8029183372855186,0.8478121399879456,0.8616763830184937,0.7447728872299194
b3368	b3580,1.0,0.7170494794845581,0.5772713661193848,0.4407808661460876,0.6521060705184937,0.7190892934799195
b0594	b3612,1.0,0.979256510734558,0.9449593663215636,0.8756685853004456,0.8132388830184937,1.2276830434799195
b0004	b0953,1.0,0.8113854169845581,0.9853402256965638,1.0403902530670166,0.6735904455184937,0.8599096059799194
b2898	b4177,1.0,0.7022545576095581,0.7272103309631348,0.7720797181129455,0.7913638830184937,0.6737767934799195
b2608	b2752,1.0,0.7309166669845581,0.9409920811653136,0.9075777530670166,0.7379459142684937,0.7757299184799195
b1234	b1643,1.0,1.047811198234558,1.0215340733528138,1.3087862491607667,1.3848209142684935,1.3015111684799194
b2134	b3842,1.0,1.083748698234558,1.413819217681885,2.2897310733795164,1.996441984176636,1.5702611684799197
b0243	b1924,1.0,0.8156822919845581,0.9402840614318848,1.8361666202545168,0.9044498205184937,0.9251439809799196
b1308	b4544,1.0,0.8524010419845581,0.9410042881965636,0.8729586124420166,1.2289615392684936,0.7431127309799195
b1868	b4028,1.0,1.4813561201095582,0.9440560460090636,0.9672091007232666,0.9368716955184936,1.1686010122299195
b1832	b3227,1.0,1.930233073234558,0.9061898231506348,0.8845064759254455,1.2236881017684935,0.9494603872299194
b0072	b3172,1.0,0.4841393232345581,0.7418099403381347,0.8097994208335877,0.5282779455184936,0.5894994497299194
b0734	b2425,1.0,0.6898033857345581,0.6875374913215637,0.6993868350982666,0.9110904455184936,0.6185033559799195
b1924	b2833,1.0,0.978279948234558,0.9467293858528136,0.7347627997398376,0.9132388830184937,1.1931127309799194
